record_id,material_id,judge_slot,judge_model_id,response_source,response_file,imported_at,validation_status,parse_status,item_score_status,notes
C2__s8_energy_plan__A__machine__judge_2,C2__s8_energy_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s8_energy_plan__B__machine__judge_1,C2__s8_energy_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s8_energy_plan__B__machine__judge_2,C2__s8_energy_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s1_scheduling__A__machine__judge_1,C3__s1_scheduling__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s1_scheduling__A__machine__judge_2,C3__s1_scheduling__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s1_scheduling__B__machine__judge_1,C3__s1_scheduling__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s1_scheduling__B__machine__judge_2,C3__s1_scheduling__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s2_customer_issue__A__machine__judge_1,C3__s2_customer_issue__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s2_customer_issue__A__machine__judge_2,C3__s2_customer_issue__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s2_customer_issue__B__machine__judge_1,C3__s2_customer_issue__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s2_customer_issue__B__machine__judge_2,C3__s2_customer_issue__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s3_study_plan__A__machine__judge_1,C3__s3_study_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s3_study_plan__A__machine__judge_2,C3__s3_study_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s3_study_plan__B__machine__judge_1,C3__s3_study_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s3_study_plan__B__machine__judge_2,C3__s3_study_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s4_routing__A__machine__judge_1,C3__s4_routing__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s4_routing__A__machine__judge_2,C3__s4_routing__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s4_routing__B__machine__judge_1,C3__s4_routing__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s4_routing__B__machine__judge_2,C3__s4_routing__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s5_task_allocation__A__machine__judge_1,C3__s5_task_allocation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s5_task_allocation__A__machine__judge_2,C3__s5_task_allocation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s5_task_allocation__B__machine__judge_1,C3__s5_task_allocation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s5_task_allocation__B__machine__judge_2,C3__s5_task_allocation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s6_content_recommendation__A__machine__judge_1,C3__s6_content_recommendation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s6_content_recommendation__A__machine__judge_2,C3__s6_content_recommendation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s6_content_recommendation__B__machine__judge_1,C3__s6_content_recommendation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s6_content_recommendation__B__machine__judge_2,C3__s6_content_recommendation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s7_game_strategy__A__machine__judge_1,C3__s7_game_strategy__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s7_game_strategy__A__machine__judge_2,C3__s7_game_strategy__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s7_game_strategy__B__machine__judge_1,C3__s7_game_strategy__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s7_game_strategy__B__machine__judge_2,C3__s7_game_strategy__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s8_energy_plan__A__machine__judge_1,C3__s8_energy_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s8_energy_plan__A__machine__judge_2,C3__s8_energy_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s8_energy_plan__B__machine__judge_1,C3__s8_energy_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C3__s8_energy_plan__B__machine__judge_2,C3__s8_energy_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s1_scheduling__A__machine__judge_1,C4__s1_scheduling__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s1_scheduling__A__machine__judge_2,C4__s1_scheduling__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s1_scheduling__B__machine__judge_1,C4__s1_scheduling__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s1_scheduling__B__machine__judge_2,C4__s1_scheduling__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s2_customer_issue__A__machine__judge_1,C4__s2_customer_issue__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s2_customer_issue__A__machine__judge_2,C4__s2_customer_issue__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s2_customer_issue__B__machine__judge_1,C4__s2_customer_issue__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s2_customer_issue__B__machine__judge_2,C4__s2_customer_issue__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s3_study_plan__A__machine__judge_1,C4__s3_study_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s3_study_plan__A__machine__judge_2,C4__s3_study_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s3_study_plan__B__machine__judge_1,C4__s3_study_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s3_study_plan__B__machine__judge_2,C4__s3_study_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s4_routing__A__machine__judge_1,C4__s4_routing__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s4_routing__A__machine__judge_2,C4__s4_routing__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s4_routing__B__machine__judge_1,C4__s4_routing__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s4_routing__B__machine__judge_2,C4__s4_routing__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s5_task_allocation__A__machine__judge_1,C4__s5_task_allocation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s5_task_allocation__A__machine__judge_2,C4__s5_task_allocation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s5_task_allocation__B__machine__judge_1,C4__s5_task_allocation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s5_task_allocation__B__machine__judge_2,C4__s5_task_allocation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s6_content_recommendation__A__machine__judge_1,C4__s6_content_recommendation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s6_content_recommendation__A__machine__judge_2,C4__s6_content_recommendation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s6_content_recommendation__B__machine__judge_1,C4__s6_content_recommendation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s6_content_recommendation__B__machine__judge_2,C4__s6_content_recommendation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s7_game_strategy__A__machine__judge_1,C4__s7_game_strategy__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s7_game_strategy__A__machine__judge_2,C4__s7_game_strategy__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s7_game_strategy__B__machine__judge_1,C4__s7_game_strategy__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s7_game_strategy__B__machine__judge_2,C4__s7_game_strategy__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s8_energy_plan__A__machine__judge_1,C4__s8_energy_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s8_energy_plan__A__machine__judge_2,C4__s8_energy_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s8_energy_plan__B__machine__judge_1,C4__s8_energy_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C4__s8_energy_plan__B__machine__judge_2,C4__s8_energy_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s1_scheduling__A__machine__judge_1,C5__s1_scheduling__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s1_scheduling__A__machine__judge_2,C5__s1_scheduling__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s1_scheduling__B__machine__judge_1,C5__s1_scheduling__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s1_scheduling__B__machine__judge_2,C5__s1_scheduling__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s2_customer_issue__A__machine__judge_1,C5__s2_customer_issue__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s2_customer_issue__A__machine__judge_2,C5__s2_customer_issue__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s2_customer_issue__B__machine__judge_1,C5__s2_customer_issue__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s2_customer_issue__B__machine__judge_2,C5__s2_customer_issue__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s3_study_plan__A__machine__judge_1,C5__s3_study_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s3_study_plan__A__machine__judge_2,C5__s3_study_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s3_study_plan__B__machine__judge_1,C5__s3_study_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s3_study_plan__B__machine__judge_2,C5__s3_study_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s4_routing__A__machine__judge_1,C5__s4_routing__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s4_routing__A__machine__judge_2,C5__s4_routing__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s4_routing__B__machine__judge_1,C5__s4_routing__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C5__s4_routing__B__machine__judge_2,C5__s4_routing__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
