material_id,condition_id,scenario_id,direction_version,char_count,sentence_count,status,fail_issues,review_issues
C4__s4_routing__A__machine,C4,s4_routing,A,489,6,pass,,
C4__s4_routing__B__machine,C4,s4_routing,B,472,6,pass,,
C4__s5_task_allocation__A__machine,C4,s5_task_allocation,A,503,6,pass,,
C4__s5_task_allocation__B__machine,C4,s5_task_allocation,B,496,6,pass,,
C4__s6_content_recommendation__A__machine,C4,s6_content_recommendation,A,465,6,pass,,
C4__s6_content_recommendation__B__machine,C4,s6_content_recommendation,B,482,6,pass,,
C4__s7_game_strategy__A__machine,C4,s7_game_strategy,A,475,6,pass,,
C4__s7_game_strategy__B__machine,C4,s7_game_strategy,B,472,6,pass,,
C4__s8_energy_plan__A__machine,C4,s8_energy_plan,A,477,6,pass,,
C4__s8_energy_plan__B__machine,C4,s8_energy_plan,B,477,6,pass,,
C5__s1_scheduling__A__machine,C5,s1_scheduling,A,507,6,pass,,
C5__s1_scheduling__B__machine,C5,s1_scheduling,B,510,6,pass,,
C5__s2_customer_issue__A__machine,C5,s2_customer_issue,A,536,6,pass,,
C5__s2_customer_issue__B__machine,C5,s2_customer_issue,B,552,6,pass,,
C5__s3_study_plan__A__machine,C5,s3_study_plan,A,517,6,pass,,
C5__s3_study_plan__B__machine,C5,s3_study_plan,B,512,6,pass,,
C5__s4_routing__A__machine,C5,s4_routing,A,495,6,pass,,
C5__s4_routing__B__machine,C5,s4_routing,B,496,6,pass,,
C5__s5_task_allocation__A__machine,C5,s5_task_allocation,A,514,6,pass,,
C5__s5_task_allocation__B__machine,C5,s5_task_allocation,B,515,6,pass,,
C5__s6_content_recommendation__A__machine,C5,s6_content_recommendation,A,483,6,pass,,
C5__s6_content_recommendation__B__machine,C5,s6_content_recommendation,B,494,6,pass,,
C5__s7_game_strategy__A__machine,C5,s7_game_strategy,A,490,6,pass,,
C5__s7_game_strategy__B__machine,C5,s7_game_strategy,B,487,6,pass,,
C5__s8_energy_plan__A__machine,C5,s8_energy_plan,A,493,6,pass,,
C5__s8_energy_plan__B__machine,C5,s8_energy_plan,B,491,6,pass,,
